id,text,category
1028,"<strong> Information Use </strong> <br> <br> Profile <br> <br> We store information that we collect through cookies, log files, clear gifs, and/or third parties to create a profile of our users. A profile is stored information that we keep on individual users that details their viewing preferences. Consequently, collected information is tied to the users personally identifiable information to provide offers and improve the content of the site for the user. This profile is used to tailor a user's visit to our Web site, and to direct pertinent marketing promotions to them. We do not share your profile with other third parties. <br> <br>",First Party Collection/Use
1028,"Cookies <br> <br> A cookie is a piece of data stored on the user's computer tied to information about the user. Usage of a cookie is in no way linked to any personally identifiable information while on our site. We use both session ID cookies [and] persistent cookies. For the session ID cookie, once users close the browser, the cookie simply terminates. A persistent cookie is a small text file stored on the user's hard drive for an extended period of time. Persistent cookies can be removed by following Internet browser help file directions. <br> <br>",First Party Collection/Use
1028,"We use cookies to enhance the RedOrbit experience. By setting a cookie on our site, users would not have to log in a password more than once, thereby saving time while on our site. If users reject the cookie, they may still use our site. The only drawback to this is that the user will be limited in some areas of our site. For example, the user will not be able to participate in any of our sweepstakes, contests or monthly drawings that take place. Persistent cookies enable us to track and target the interests of our users to enhance the experience on our site. See the 'Profile' section. <br> <br>",First Party Collection/Use
1028,"Some of our business partners use cookies on our site (for example, advertisers). However, we have no access to or control over these cookies, once we have given permission for them to set cookies for advertising. <br> <br>",Third Party Sharing/Collection
1028,"Third Party Advertising <br> <br> The ads appearing on this Web site are delivered to users by our ad serving software. Information about users' visit to this site, such as number of times they have viewed an ad (but not user name, address, or other personal information), is used to serve ads to users on this site. <br> <br>",Third Party Sharing/Collection
1028,"<strong> This privacy statement covers the use of cookies by RedOrbit, Inc. only and does not cover the use of cookies by any advertisers. </strong> <br> <br> Third Party Advertising - Advertising.com <br> <br> We use third-party advertising companies to serve ads when you visit our Web site. These companies may use information (not including your name, address, email address or telephone number) about your visits to this and other Web sites in order to provide advertisements about goods and services of interest to you. If you would like more information about this practice and to know your choices about not having this information used by these companies, click here: http://www.networkadvertising.org/consumer/opt_out.asp <br> <br>",Third Party Sharing/Collection
1028,"Third Party Cookies <br> <br> In the course of serving advertisements to this site, our third-party advertiser may place or recognize a unique cookie on your browser. <br> <br>",Third Party Sharing/Collection
1028,"Log Files <br> <br> Like most standard Web site servers we use log files. This includes internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, platform type, date/time stamp, and number of clicks to analyze trends, administer the site, track user?s movement in the aggregate, and gather broad demographic information for aggregate use. IP addresses, etc. are not linked to personally identifiable information We use a tracking utility called ClickTracks that uses log files to analyze user movement. <br> <br>",First Party Collection/Use
1028,"Clear Gifs (Web Beacons/Web Bugs) <br> <br> We employ a software technology called clear gifs (a.k.a. Web Beacons/Web Bugs), that help us better manage content on our site by informing us what content is effective. Clear gifs are tiny graphics with a unique identifier, similar in function to cookies, and are used to track the online movements of Web users. The main difference between the two is that clear gifs are invisible on the page and are much smaller, about the size of the period at the end of this sentence. Clear gifs are not tied to users? personally identifiable information. <br> <br>",First Party Collection/Use
1028,"Clear Gifs can ""work with"" existing cookies on a computer if they are both from the same Web site or advertising company. That means, for example, that if a person visited 'www.companyX.com', which uses an advertising company's clear gif, the Web would match the clear gif's identifier and the advertising company's cookie ID number, to show the past online behavior for that computer. <br> <br>",Other
1028,"In addition, we use clear gifs in our HTML-based emails to let us know which emails have been opened by the recipients. This allows us to gauge the effectiveness of certain communications and the effectiveness of our marketing campaigns. If users would like to opt-out of these emails, please see the Opt-out section. <br> <br>",First Party Collection/Use
1028,"<strong> Communications from the Site </strong> <br> <br> Special Offers and Updates <br> <br> We send all new members a welcoming email to verify password and username. Established members will occasionally receive information on products, services, special deals, and a newsletter. Out of respect for the privacy of our users we present the option to not receive these types of communications. Please see the Choice and Opt-out sections. <br> <br>",User Choice/Control
1028,"Newsletter <br> <br> If a user wishes to subscribe to our newsletter, we ask for contact information such as name and email address. Out of respect for our users privacy we provide a way to opt-out of these communications. Please see the Choice and Opt-out sections. <br> <br>",First Party Collection/Use
1028,"Service Announcements <br> <br> On rare occasions it is necessary to send out a strictly service related announcement. For instance, if our service is temporarily suspended for maintenance we might send users an email. Generally, users may not opt-out of these communications, though they can deactivate their account. However, these communications are not promotional in nature. <br> <br>",First Party Collection/Use
1028,"Customer Service <br> <br> We communicate with users on a regular basis to provide requested services and in regards to issues relating to their account we reply via email or phone, in accordance with the users wishes. <br> <br>",Other
1028,"<strong> Sharing </strong> <br> <br> Legal Disclaimer <br> <br> Though we make every effort to preserve user privacy, we may need to disclose personal information when required by law wherein we have a good-faith belief that such action is necessary to comply with a current judicial proceeding, a court order or legal process served on our Web site. <br> <br>",Third Party Sharing/Collection
1028,Aggregate Information (non-personally identifiable) <br> <br> We share aggregated demographic information with our partners and advertisers. This is not linked to any personally identifiable information. <br> <br>,Third Party Sharing/Collection
1028,These are the instances in which we will share users personal information: <br> <br>,Other
1028,"<strong> We DO NOT Share Personal Information with Third Parties </strong> <br> <br> Third Party Intermediaries <br> <br> We use an outside shipping company to ship orders, and a credit card processing company to bill users for goods and services. These companies do not retain, share, store or use personally identifiable information for any secondary purposes. <br> <br>",Third Party Sharing/Collection
1028,"Business Transitions <br> <br> In the event RedOrbit, Inc. goes through a business transition, such as a merger, being acquired by another company, or selling a portion of its assets, users' personal information will, in most instances, be part of the assets transferred. Users will be notified via email prior to a change of ownership or control of their personal information. If as a result of the business transition, the users? personally identifiable information will be used in a manner different from that stated at the time of collection they will be given choice consistent with our notification of changes section. <br> <br>",Third Party Sharing/Collection
1028,"Choice/Opt-out <br> <br> Our users are given the opportunity to 'opt-out' of having their information used for purposes not directly related to our site at the point where we ask for information. For example, our order form has an 'opt-out' mechanism so users who buy a product from us, but don't want any marketing material, can keep their email address off of our lists. <br> <br>",User Choice/Control
1028,Users who no longer wish to receive our newsletter and promotional communications may opt-out of receiving these communications by replying to unsubscribe in the subject line in the email. <br> <br>,User Choice/Control
1028,Users of our site are always notified when their information is being collected by any outside parties. We do this so our users can make an informed choice as to whether or not they should proceed with services that require an outside party. <br> <br>,Other
1028,"Links <br> <br> This Web site contains links to other sites. Please be aware that we, RedOrbit Inc., are not responsible for the privacy practices of such other sites. We encourage our users to be aware when they leave our site and to read the privacy statements of each and every Web site that collects personally identifiable information. This privacy statement applies solely to information collected by this Web site. <br> <br>",Other
1028,"Surveys [ Contests] <br> <br> From time-to-time our site requests information from users via surveys or contests. Participation in these surveys or contests is completely voluntary and the user therefore has a choice whether or not to disclose this information. The requested information typically includes contact information (such as name and shipping address), and demographic information (such as zip code). Contact information will be used to notify the winners and award prizes. Anonymous Survey information will be used for purposes of monitoring or improving the use and satisfaction of this site. Users? personally identifiable information is not shared with third parties unless we give prior notice and choice. Though we may use an intermediary to conduct these surveys or contests, they may not use users' personally identifiable information for any secondary purposes. <br> <br>",First Party Collection/Use
1028,"Tell-A-Friend <br> <br> If a user elects to use our referral service for informing a friend about our site, we ask them for the friend's name and email address. RedOrbit, Inc. will automatically send the friend a one-time email inviting them to visit the site. RedOrbit, Inc. stores this information for the sole purpose of sending this one-time email and tracking the success of our referral program. The friend may contact RedOrbit, Inc. to request the removal of this information from our database. <br> <br>",First Party Collection/Use
1028,"Security <br> <br> This Web site takes every precaution to protect our users' information. When users submit sensitive information via the Web site, their information is protected both online and off-line. <br> <br>",Data Security
1028,"When our registration/order form asks users to enter sensitive information (such as credit card number and/or social security number), that information is encrypted and is protected with the best encryption software in the industry - SSL. While on a secure page, such as our order form, the lock icon on the bottom of Web browsers such as Netscape Navigator and Microsoft Internet Explorer becomes locked, as opposed to un-locked, or open, when users are just 'surfing'. <br> <br>",Data Security
1028,"While we use SSL encryption to protect sensitive information online, we also do everything in our power to protect user-information off-line. All of our users' information, not just the sensitive information mentioned above, is restricted in our offices. Only employees who need the information to perform a specific job (for example, our billing clerk or a customer service representative) are granted access to personally identifiable information. Our employees must use password-protected screen-savers when they leave their desk. When they return, they must re-enter their password to re-gain access to user information. Furthermore, ALL employees are kept up-to-date on our security and privacy practices. Every quarter, as well as any time new policies are added, our employees are notified and/or reminded about the importance we place on privacy, and what they can do to ensure our users' information is protected. Finally, the servers that store personally identifiable information are in a secure environment, behind a locked cage in a locked facility. <br> <br>",Data Security
1028,Supplementation of Information <br> <br> In order for this Web site to properly fulfill its obligation to users it is necessary for us to supplement the information we receive with information from 3rd party sources. <br> <br>,First Party Collection/Use
1028,"Correcting/Updating/Deleting/Deactivating Personal Information <br> <br> If a user's personally identifiable information changes (such as zip code, phone, email or postal address), or if a user no longer desires our service, we provide a way to correct, update or delete/deactivate users' personally identifiable information. This can usually be done at the member information page or by emailing our Customer Support. <br> <br>","User Access, Edit and Deletion"
1028,"Notification of Changes <br> <br> If we decide to change our privacy policy, we will post those changes to this privacy statement, the homepage, and other places we deem appropriate so our users are always aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We will use information in accordance with the privacy policy under which the information was collected. <br> <br>",Policy Change
1028,"If, however, we are going to use users' personally identifiable information in a manner different from that stated at the time of collection we will notify users via email. Users will have a choice as to whether or not we use their information in this different manner. However, if users have opted out of all communication with the site, or deleted/deactivated their account, then they will not be contacted, nor will their personal information be used in this new manner. In addition, if we make any material changes in our privacy practices that do not affect user information already stored in our database, we will post a prominent notice on our Web site notifying users of the change. In some cases where we post a notice we will also email users, who have opted to receive communications from us, notifying them of the changes in our privacy practices. <br> <br>",Policy Change
1028,"Third Party Advertising <br> <br> We use MaxOnline and other third-party advertising companies to serve ads when you visit our Web site. These companies may use information (not including your name, address, email address or telephone number) about your visits to this and other Web sites in order to provide advertisements on this site and other sites about goods and services that may be of interest to you. If you would like more information about this practice and to know your choices about not having this information used by these companies, please click here www.networkadvertising.org/optout_nonppii.asp <br> <br>",Third Party Sharing/Collection
1028,Third Party Cookies <br> <br>,Other
1028,"In the course of serving advertisements to this site, our third-party advertiser may place or recognize a unique ""cookie"" on your browser. <br> <br>",Third Party Sharing/Collection
1028,Contact Information <br> <br>,Other
1028,"If users have any questions or suggestions regarding our privacy policy, please contact us at: <br> <br> Web site URL : new.www.redorbit.com",Other
1034,"<strong> AOL Privacy Policy </strong> <br> <br> <strong> Last updated: June 23, 2015 </strong> <br> <br>",Other
1034,"AOL is now part of the Verizon family of companies. Additional privacy practices are described in the Verizon Privacy Policy. In the event of a conflict between this Privacy Policy and the Verizon Privacy Policy, the AOL Privacy Policy will control when you are on an AOL site or using and AOL product or service. <br> <br>",Other
1034,"At AOL, it's our mission to provide users with rich, interactive online experiences. From Pulitzer-Prize winning journalism on the Huffington Post, to the latest technology news on TechCrunch, to up-to-the-minute traffic information on MapQuest, our websites, apps, and other services and software are designed to keep you informed, entertained and delighted. We also operate some of the industry's best-known advertising services, including Adap.tv and Advertising.com. <br> <br>",Other
1034,"We're always working to make our services even better. One of the ways we do that is by analyzing information we collect and receive about users in order to figure out what they might be interested in. This helps us develop more engaging content and provide more effective advertising, which enables us to keep most of our services free. <br> <br>",First Party Collection/Use
1034,"This Privacy Policy describes how we handle the information we collect and receive about users. There are three things you should keep in mind as you read it: <br> <br> <ul> <li> First, the Privacy Policy applies to AOL services that link to or refer to this Privacy Policy. These services include websites, mobile apps, other online services and anything else that links to or refers to this policy. To keep things simple, we refer to all these services as our ""Services."" </li> </ul> <ul> <li> Second, the Privacy Policy applies no matter what computer or device you use to access our Services. </li> </ul> <ul> <li> Third, we may provide additional information about the privacy practices of some of our Services. Although this Privacy Policy applies to all AOL services that refer or link to it, you should read the additional information, too. Some of this information is linked from various places in the Privacy Policy, and some is available through the individual Services that you use. We've done our best to keep this Privacy Policy short and simple, but if you have any questions about it, we hope you'll let us know. </li> </ul>",Other
1034,Information We Collect and Receive <br> <br> We collect and receive information about users in a few different ways: <br> <br>,First Party Collection/Use
1034,"Information you give us . You can give us information directly. For example: <br> <br> <ul> <li> When you sign up for an AOL account you may give us information such as your name, zip code, and date of birth; </li> </ul> <ul> <li> When you purchase one of our paid services, you give us your billing information, which may include your credit card data; </li> </ul> <ul> <li> When you use Moviefone, you can give us your zip code so that we can tell you where and when movies are playing; </li> </ul> <ul> <li> When you post comments in response to a story or video on any of our Services, we-and other users-receive that information; and </li> </ul> <ul> <li> When you use the "" My Portfolios"" feature on DailyFinance, you can give us information about your investments so that we can provide you with up-to-the-second market news and commentary relevant to your holdings. (Your use of AOL financial features is subject to additional privacy terms.) </li> </ul> <ul> <li> When you otherwise contact us or provide us information directly. </li> </ul>",First Party Collection/Use
1034,"Information we collect or receive when you use our Services . We also collect or receive information when you use our Services. We collect some of this information using cookies, web beacons, and other technologies. Depending on how you access and use our Services, we may receive: <br> <br>",First Party Collection/Use
1034,"Log information . This is information we automatically collect and store when you use our Services or other companies' websites and apps in the AOL Advertising Network. It may include, for example: <br> <br> <ul> <li> Information about your interactions with the websites, apps, and other services you use, the content you view, the search queries you submit, and information in cookies and similar technologies; </li> </ul> <ul> <li> Information about how you access those websites, apps, and other services, your browser or operating system, your Internet Protocol (""IP"") address, and the website you visited before visiting our Services. </li> </ul>",First Party Collection/Use
1034,"Device information . This is information we automatically collect and store about the device you use when you access our Services or the services in the AOL Advertising Network. (Note that by ""device,"" we mean anything you use to access our Services. For more information about our privacy practices in connection with mobile devices, please review the Supplemental Mobile Terms of Service and Privacy Policy.) Device information includes, for example: <br> <br> <ul> <li> The type of device you're using (e.g., an iPhone); </li> </ul> <ul> <li> Certain device identifiers which may be unique to your device; and </li> </ul> <ul> <li> Your Internet service provider. </li> </ul>",First Party Collection/Use
1034,"Location information . This information can include, for example, your device's GPS signal and information about nearby WiFi networks and cell towers. We get this information when you use location-enabled services like MapQuest, which can give you driving directions based on your current location. <br> <br>",First Party Collection/Use
1034,"Other information . Please note that AOL may use information about your use of certain AOL communication tools (for example, AOL Mail and AOL Instant Messenger); however, when you use AOL communication tools, AOL does not read your private online communications without your consent. <br> <br>",First Party Collection/Use
1034,"Information from third-party sources . We may receive additional information about you that is publicly or commercially available and combine that with the information we have collected or received about you in other ways. Also, we receive information about you when you choose to connect with social networking services while using our Services. Learn more about how that works here. Additionally, when you use AOL software (such as the AOL desktop software, AOL toolbars, or AIM), we may collect information about other software on your device for the limited purposes of providing the service you are using and improving the security of our services. <br> <br>",First Party Collection/Use
1034,How We Use the Information We Collect and Receive <br> <br> We use the information we collect and receive for the following general purposes: <br> <br>,Other
1034,"To provide our Services. We use the information we collect and receive to provide you with the Services you use or request. For example: <br> <br> <ul> <li> If you request local movie show times from Moviefone, we might use your location information to provide you with times at nearby theaters; </li> </ul> <ul> <li> If you sign up to receive the daily headlines from Huffington Post, we'll use your email address to deliver them to you; and </li> </ul> <ul> <li> If you ask us to remember your login information for AOL Services, we'll use information stored in cookies when you return to those websites. </li> </ul>",First Party Collection/Use
1034,"To improve our Services . We also use the information we collect and receive to provide content and advertising that people are likely to find relevant and engaging. For example: <br> <br> <ul> <li> If we notice that Huffington Post users in general prefer national political commentary, we might put that content in a special place on the website or in the app; </li> </ul> <ul> <li> If we notice that a user is searching for sports cars on AOL Autos, we might show the user an ad for a sports car on AOL.com or on other sites in the AOL Advertising Network; and </li> </ul> <ul> <li> If we receive information from users that a Service isn't working properly, we may use that information to address any problem. </li> </ul>",First Party Collection/Use
1034,"To provide effective advertising . Many of our Services are supported by advertising, and some of our Services provide advertising on our websites and apps, and on third-party websites and apps. We use the information we collect and receive to make the advertising we provide more effective. Some of the ways we do this are: <br> <br> <ul> <li> Showing you ads based on your online activities, such as the websites and applications you use, the content you view, and the searches you submit on those applications </li> </ul> <ul> <li> Limiting the number of times you see the same ad; and </li> </ul> <ul> <li> Measuring the effectiveness of the ads we serve. Learn more about advertising and privacy on our Services. </li> </ul>",First Party Collection/Use
1034,"How We Share the Information We Collect and Receive <br> <br> We don't rent or sell personal information to third parties for their marketing purposes. But we may share certain information we collect or receive with third parties to provide products and services you have requested, when we have your consent, or as described in this Privacy Policy. <br> <br>",Third Party Sharing/Collection
1034,"We may share information with: <br> <br> Affiliates . The information one AOL affiliate receives can be shared among other AOL affiliates, including the Verizon family of companies. <br> <br> Business partners . We may share non-personally identifiable information with select business partners, who may use the information for a variety of purposes, including to provide you with relevant advertising. <br> <br>",Third Party Sharing/Collection
1034,"Other parties in response to legal process or when necessary to protect our Services . We may disclose your information-including the contents of your communications with other parties-to other parties, such as when we have a good faith belief that: <br> <br> <ul> <li> It is necessary to respond to lawful governmental requests or legal process (for example, a court order, search warrant, or subpoena); </li> </ul> <ul> <li> The information is relevant to a crime that has been or is being committed; </li> </ul> <ul> <li> An emergency exists that poses a threat to your safety or the safety of another person; or </li> </ul> <ul> <li> It is necessary to protect the rights or property of AOL. </li> </ul>",Third Party Sharing/Collection
1034,"Other parties in connection with certain business transactions . In the event that the ownership of AOL Inc. or an affiliate or their assets changes as a result of a merger, acquisition, sale of assets, or in the unlikely event of a bankruptcy, your information may be transferred to another company. If we believe a transfer results in a material change in the use of the information we've collected or received about you, you will be given the opportunity to opt out of the transfer. <br> <br>",Third Party Sharing/Collection
1034,<strong> Companies that Provide Services to AOL </strong> <br> <br> Companies that provide services to us or act on our behalf may have access to information about you. These companies are limited in their ability to use information they receive in the course of providing services to us. <br> <br>,Third Party Sharing/Collection
1034,"Third Parties that Provide Content, Advertising Services, or Functionality on Our Services <br> <br>",Other
1034,"Some of the content, advertising, and functionality on our Services may be provided by third parties that are not affiliated with us. Such third parties include: <br> <br> <ul> <li> Advertising providers, which help us and our advertising customers provide ads that are tailored to users' interests and understand how users respond to those ads; </li> </ul> <ul> <li> Audience-measurement companies, which help us measure the overall usage of our Services and compare that usage to other online services; and </li> </ul> <ul> <li> Social networking services (like Facebook, Twitter, LinkedIn, and Google ) that enable you to login to certain of our Services and to share things you find on our Services with your social network. These and other third parties may collect or receive information about your use of our Services, including through the use of cookies, web beacons and other technologies, and this information may be collected over time and combined with information collected on different websites and online services. </li> </ul>",Third Party Sharing/Collection
1034,"Note that some of these companies participate in industry-developed programs designed to provide consumers with choices about whether to receive targeted ads. To learn more, please visit the websites of the Network Advertising Initiative and the Digital Advertising Alliance. For more information about privacy and advertising on our Services, please visit Advertising, Analytics and Privacy. <br> <br>",Other
1034,"If you choose to connect with a social networking service, such as Facebook, we may share information with that service, and that service may share information about you with us. We may use the information for the reasons explained in this Privacy Policy, but the main reason we use it is to make your experience on our Services more personal and social. For example, we might show you what content is popular among your connections on the social networking service or give you a glimpse of what your friends are saying about that content. <br> <br>",Third Party Sharing/Collection
1034,It's important to remember that we don't control the privacy practices of these (or any other) third-party services. So we encourage you to read the privacy policies of the services before connecting to them. <br> <br>,Other
1034,"""Do Not Track"" Signals <br> <br> Some web browsers may transmit ""do not track"" signals to the websites and other online services with which the browser communicates. There is no standard that governs what, if anything, websites should do when they receive these signals. AOL currently does not take action in response to these signals. If and when a standard for responding is established, we may revisit its policy on responding to these signals. <br> <br>",Do Not Track
1034,Choices <br> <br> You have a number of choices about how we handle your information: <br> <br>,Other
1034,"<ul> <li> If you're a registered AOL user, you can access your registration information and any billing or shipping information and edit this information by visiting "" My Account."" </li> </ul>","User Access, Edit and Deletion"
1034,"<ul> <li> If you're a registered AOL user, you can visit AOL Marketing Preferences to review your marketing preferences and make choices about how your information may be used to provide marketing offers to you. Note that these preferences do not apply to communications that are directly related to your registration with AOL or the fulfillment of a specific transaction you have requested (for example, a service advisory from AOL or an acknowledgment of a purchase order). </li> </ul>",User Choice/Control
1034,"<ul> <li> Visit our Advertising, Analytics and Privacy page to learn more about your choices related to use of your information for online advertising. You can also opt out of receiving targeted ads from AOL by visiting the Digital Advertising Alliance's consumer choice page and selecting AOL Advertising. </li> </ul>",User Choice/Control
1034,"<ul> <li> Some of our Services ( AOL Search and Netscape ISP, for example) may also offer you the ability to manage and control information collected or used when you use these services. </li> </ul>",User Choice/Control
1034,"<ul> <li> If you're using a mobile device, please visit our Mobile Device Choices page for information about the choices we provide to mobile users. </li> </ul>",Other
1034,"<strong> Our Commitment to Security </strong> <br> <br> Although no one can guarantee the security of the information collected and received, we do employ a number of safeguards intended to mitigate the risk of unauthorized access or disclosure of this information. Examples of the types of safeguards we may provide (depending on the circumstances) include: <br> <br> <ul> <li> Storing the data you provide in controlled facilities; </li> </ul> <ul> <li> Using HTTPS encryption when you authenticate (i.e., log into one of our Services), which helps prevent unauthorized access to your login credentials; </li> </ul> <ul> <li> Limiting access to personal information to employees who need that access to perform their jobs; and </li> </ul> <ul> <li> Providing company-wide training on privacy and data security. </li> </ul>",Data Security
1034,"Children's Privacy <br> <br> Our Services are intended for a general audience. We do not knowingly collect, use, or disclose personal information from children under the age of 13 without prior parental consent, except as permitted by the Children's Online Privacy Protection Act. If you are a parent who consents to the collection of personal information from your child, you agree that your child may use all of our Services and that we may collect, use, and disclose your child's personal information consistent with AOL's Important Note to Parents and this Privacy Policy. <br> <br>",International and Specific Audiences
1034,"If you have questions concerning our information practices with respect to children, or if you would like to review, have deleted, or stop the further collection of your child's personal information, you may contact us: <br> <br>",International and Specific Audiences
1034,"By mail: <br> <br> AOL Children's Online Privacy <br> <br> ATT: H2A:C05 <br> <br> 22000 AOL Way <br> <br> Dulles, VA 20166-9302 <br> <br> By phone: (888) 206-6088 <br> <br> By email <br> <br> International users <br> <br>",Other
1034,"AOL is based in the United States, and, regardless of where you use our Services or otherwise provide information to us, the information may be transferred to and maintained on servers located in the U.S. Please note that any information we obtain about you will be stored in accordance with U.S. privacy laws, regulations, and standarsds, which may not be equivalent to the laws in your country of residence. By using our Services or by providing us with your information, you consent to this collection, transfer, storage, and processing of information to and in the U.S. <br> <br>",User Choice/Control
1034,"AOL Inc. complies with the U.S.-EU Safe Harbor Framework and the U.S.-Swiss Safe Harbor Framework as set forth by the U.S. Department of Commerce regarding the collection, use, and retention of personal information from European Union member countries and Switzerland. AOL has certified that it adheres to the Safe Harbor Privacy Principles of notice, choice, onward transfer, security, data integrity, access, and enforcement. To learn more about the Safe Harbor program, and to view AOLs certification, please visit http://www.export.gov/safeharbor/. <br> <br>",Other
1034,"<strong> How to Contact Us </strong> <br> <br> If you have questions or concerns about this Privacy Policy or about AOL's privacy practices in general, please send us an email. <br> <br>",Other
1034,Changes to This Privacy Policy and Additional Information <br> <br>,Other
1034,"We may update this Privacy Policy from time to time, and so you should review this Policy periodically. If there are significant changes to AOL's information practices, you will be provided with appropriate online notice.",Policy Change
105,Amazon.com Privacy Notice <br> <br>,Other
105,"Last updated: March 3, 2014. To see what has changed, click here. <br> <br>",Policy Change
105,"Amazon.com knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly. This notice describes our privacy policy. By visiting Amazon.com, you are accepting the practices described in this Privacy Notice. <br> <br> <ul> <li> What Personal Information About Customers Does Amazon.com Gather? </li> </ul> <ul> <li> What About Cookies? </li> </ul> <ul> <li> Does Amazon.com Share the Information It Receives? </li> </ul> <ul> <li> How Secure Is Information About Me? </li> </ul> <ul> <li> What About Third-Party Advertisers and Links to Other Websites? </li> </ul> <ul> <li> Which Information Can I Access? </li> </ul> <ul> <li> What Choices Do I Have? </li> </ul> <ul> <li> Are Children Allowed to Use Amazon.com? </li> </ul> <ul> <li> Does Amazon.com Participate in the Safe Harbor Program? </li> </ul> <ul> <li> Conditions of Use, Notices, and Revisions </li> </ul> <ul> <li> Examples of Information Collected </li> </ul>",Other
105,<strong> What Personal Information About Customers Does Amazon.com Gather? </strong> <br> <br> The information we learn from customers helps us personalize and continually improve your Amazon experience. Here are the types of information we gather. <br> <br>,First Party Collection/Use
105,"<ul> <li> Information You Give Us: We receive and store any information you enter on our Web site or give us in any other way. Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features. We use the information that you provide for such purposes as responding to your requests, customizing future shopping for you, improving our stores, and communicating with you. </li> </ul>",First Party Collection/Use
105,"<ul> <li> Automatic Information: We receive and store certain types of information whenever you interact with us. For example, like many Web sites, we use ""cookies,"" and we obtain certain types of information when your Web browser accesses Amazon.com or advertisements and other content served by or on behalf of Amazon.com on other Web sites. Click here to see examples of the information we receive. </li> </ul>",First Party Collection/Use
